City,Country,Population,Area,Population Density
Mumbai,India,20.4,603,0.033830846
Tokyo,Japan,13.9,2188,0.006352834
London,United kingdom,9.5,1572,0.006043257
Paris,France,2.1,105,0.02
New York city,United States,8.4,783.8,0.01071702
